Source,SourcePort,Destination,DestinationPort
IGBT/Diode1,-1,Voltage Measurement,1032.00036621094
IGBT/Diode1,-1,Series RLC Branch,507.00048828125
IGBT/Diode1,-1,IGBT/Diode3,489.000366210938
IGBT/Diode1,-1,DC Voltage Source,448.000732421875
g,-1,Model,0
Model,-1,Goto,-1
IGBT/Diode,-1,C,1341.00073242188
IGBT/Diode,-1,E,1344.00073242188
g,-1,Model,-1
Uswitch,-1,Model,-1
Status,-1,Model,-1
Model,-1,m,0
Model,-1,Goto,0
gate ,-1,Data Type Conversion,0
Uswitch,-1,Mux,1
Uswitch,-1,1/Rsw,0
status,-1,Switch,1
0 4,-1,Switch,2
Uswitch,-1,1/Rsw,-1
1/Rsw,-1,Switch,0
gate ,-1,Data Type Conversion,-1
Data Type Conversion,-1,gate,0
Mux,-1,Measurement list,-1
Measurement list,-1,m,0
In1,-1,Demux,0
Demux,-1,Bus
Creator1,-1
Bus
Creator1,-1,Out1,0
In1,-1,Demux,-1
Demux,-1,Bus
Creator1,0
Demux,-1,Bus
Creator1,1
Bus
Creator1,-1,Out1,-1
Switch,-1,Mux,-1
Uswitch,-1,Mux,-1
Mux,-1,Measurement list,0
1/Rsw,-1,Switch,-1
status,-1,Switch,-1
0 4,-1,Switch,-1
Switch,-1,Mux,0
Measurement list,-1,m,-1
Data Type Conversion,-1,gate,-1
Status,-1,Model,2
Uswitch,-1,Model,1
Model,-1,m,-1
C,-1,IGBT/Diode,1328.0009765625
E,-1,IGBT/Diode,1329.00109863281
From,-1,IGBT/Diode2,-1
IGBT/Diode2,-1,IGBT/Diode,476.000854492188
IGBT/Diode2,-1,DC Voltage Source,449.000732421875
IGBT/Diode2,-1,Voltage Measurement,1032.00036621094
IGBT/Diode2,-1,Series RLC Branch,507.00048828125
IGBT/Diode2,-1,IGBT/Diode1,480.000366210938
g,-1,Model,0
Model,-1,Goto,-1
IGBT/Diode,-1,C,593.002685546875
IGBT/Diode,-1,E,596.002685546875
g,-1,Model,-1
Uswitch,-1,Model,-1
Status,-1,Model,-1
Model,-1,m,0
Model,-1,Goto,0
gate ,-1,Data Type Conversion,0
Uswitch,-1,Mux,1
Uswitch,-1,1/Rsw,0
status,-1,Switch,1
0 4,-1,Switch,2
Uswitch,-1,1/Rsw,-1
1/Rsw,-1,Switch,0
gate ,-1,Data Type Conversion,-1
Data Type Conversion,-1,gate,0
Mux,-1,Measurement list,-1
Measurement list,-1,m,0
In1,-1,Demux,0
Demux,-1,Bus
Creator1,-1
Bus
Creator1,-1,Out1,0
In1,-1,Demux,-1
Demux,-1,Bus
Creator1,0
Demux,-1,Bus
Creator1,1
Bus
Creator1,-1,Out1,-1
Switch,-1,Mux,-1
Uswitch,-1,Mux,-1
Mux,-1,Measurement list,0
1/Rsw,-1,Switch,-1
status,-1,Switch,-1
0 4,-1,Switch,-1
Switch,-1,Mux,0
Measurement list,-1,m,-1
Data Type Conversion,-1,gate,-1
Status,-1,Model,2
Uswitch,-1,Model,1
Model,-1,m,-1
C,-1,IGBT/Diode,567.002563476562
E,-1,IGBT/Diode,568.002563476562
From3,-1,IGBT/Diode3,-1
IGBT/Diode3,-1,Series RLC Branch1,511.00048828125
IGBT/Diode3,-1,IGBT/Diode,477.000854492188
IGBT/Diode3,-1,IGBT/Diode1,481.000366210938
IGBT/Diode3,-1,DC Voltage Source,448.000732421875
g,-1,Model,0
Model,-1,Goto,-1
IGBT/Diode,-1,C,625.002685546875
IGBT/Diode,-1,E,628.002685546875
g,-1,Model,-1
Uswitch,-1,Model,-1
Status,-1,Model,-1
Model,-1,m,0
Model,-1,Goto,0
gate ,-1,Data Type Conversion,0
Uswitch,-1,Mux,1
Uswitch,-1,1/Rsw,0
status,-1,Switch,1
0 4,-1,Switch,2
Uswitch,-1,1/Rsw,-1
1/Rsw,-1,Switch,0
gate ,-1,Data Type Conversion,-1
Data Type Conversion,-1,gate,0
Mux,-1,Measurement list,-1
Measurement list,-1,m,0
In1,-1,Demux,0
Demux,-1,Bus
Creator1,-1
Bus
Creator1,-1,Out1,0
In1,-1,Demux,-1
Demux,-1,Bus
Creator1,0
Demux,-1,Bus
Creator1,1
Bus
Creator1,-1,Out1,-1
Switch,-1,Mux,-1
Uswitch,-1,Mux,-1
Mux,-1,Measurement list,0
1/Rsw,-1,Switch,-1
status,-1,Switch,-1
0 4,-1,Switch,-1
Switch,-1,Mux,0
Measurement list,-1,m,-1
Data Type Conversion,-1,gate,-1
Status,-1,Model,2
Uswitch,-1,Model,1
Model,-1,m,-1
C,-1,IGBT/Diode,612.0029296875
E,-1,IGBT/Diode,613.0029296875
GreaterThan,-1,NOT,-1
NOT,-1,Goto3,0
GreaterThan1,-1,NOT1,-1
NOT1,-1,Goto,0
Square Wave
Generator,-1,Product,-1
Repeating
Sequence,-1,Product,-1
Product,-1,GreaterThan1,1
Repeating
Sequence,-1,Product,1
Clock,-1,Sum,0
Constant,-1,Math
Function,1
Math
Function,-1,Look-Up Table1,-1
Look-Up Table1,-1,Output,0
Sum,-1,Math
Function,-1
Constant,-1,Math
Function,-1
Math
Function,-1,Look-Up Table1,0
Look-Up Table1,-1,Output,-1
Output,-1,Out1,0
Clock,-1,Sum,-1
startTime,-1,Sum,-1
Sum,-1,Math
Function,0
startTime,-1,Sum,1
Output,-1,Out1,-1
Voltage Measurement,-1,Scope,-1
Square Wave
Generator,-1,Scope1,-1
Series RLC Branch,-1,IGBT/Diode2,485.000366210938
Series RLC Branch,-1,Voltage Measurement,1032.00036621094
Series RLC Branch,-1,IGBT/Diode1,480.000366210938
Series RLC Branch,-1,Series RLC Branch1,510.00048828125
Series RLC Branch,-1,Voltage Measurement,1033.00036621094
Series RLC Branch1,-1,Series RLC Branch,508.00048828125
Series RLC Branch1,-1,Voltage Measurement,1033.00036621094
Series RLC Branch1,-1,IGBT/Diode,477.000854492188
Series RLC Branch1,-1,IGBT/Diode3,488.00048828125
Sine Wave,-1,GreaterThan,0
Sine Wave1,-1,GreaterThan1,0
Square Wave
Generator,-1,Product,0
Square Wave
Generator,-1,Scope1,0
Voltage Measurement,-1,Scope,0
Voltage Measurement,-1,IGBT/Diode2,485.000366210938
Voltage Measurement,-1,Series RLC Branch,507.00048828125
Voltage Measurement,-1,IGBT/Diode1,480.000366210938
Voltage Measurement,-1,Series RLC Branch,508.00048828125
Voltage Measurement,-1,Series RLC Branch1,510.00048828125
source,-1,Model,-1
Model,-1,do not delete
this gain,0
in,-1,out,0
in,-1,out,-1
VoltageMeasurement,-1,+,887.00244140625
VoltageMeasurement,-1,-,890.00244140625
Model,-1,do not delete
this gain,-1
do not delete
this gain,-1,v,0
source,-1,Model,0
+,-1,VoltageMeasurement,879.00244140625
-,-1,VoltageMeasurement,880.00244140625
do not delete
this gain,-1,v,-1
Ground,-1,Terminator,0
Ground,-1,Terminator,-1
