Source,SourcePath,SourcePort,SourcePortKind,SourcePortIndex,Destination,DestinationPath,DestinationPort,DestinationPortKind,DestinationPortIndex,Origin
"From","untitled1/From",1,outport,1,"Universal Bridge3","untitled1/Universal Bridge3",1,inport,1,line
"Current Measurement","untitled1/Current Measurement",1,outport,1,"Goto6","untitled1/Goto6",1,inport,1,line
"Series RLC Load5","untitled1/Series RLC Load5",1,rconn,1,"Current Measurement","untitled1/Current Measurement",1,lconn,1,line
"Voltage Measurement","untitled1/Voltage Measurement",1,outport,1,"Goto5","untitled1/Goto5",1,inport,1,line
"Voltage Measurement","untitled1/Voltage Measurement",1,outport,1,"Delay","untitled1/Delay",1,inport,1,line
"Voltage Measurement","untitled1/Voltage Measurement",1,outport,1,"Scope","untitled1/Scope",1,inport,1,line
"Series RLC Load3","untitled1/Series RLC Load3",1,rconn,1,"Series RLC Load4","untitled1/Series RLC Load4",1,lconn,1,line
"Mux","untitled1/Mux",1,outport,1,"Universal Bridge2","untitled1/Universal Bridge2",1,inport,1,line
"Constant","untitled1/Constant",1,outport,1,"Mux","untitled1/Mux",2,inport,2,line
"Relay","untitled1/Relay",1,outport,1,"Mux","untitled1/Mux",1,inport,1,line
"Delay","untitled1/Delay",1,outport,1,"Relay","untitled1/Relay",1,inport,1,line
"Universal Bridge2","untitled1/Universal Bridge2",1,lconn,1,"Series RLC Load2","untitled1/Series RLC Load2",1,lconn,1,line
"Rate Limiter","untitled1/Rate Limiter",1,outport,1,"Asynchronous Machine
SI Units3","untitled1/Asynchronous Machine
SI Units3",1,inport,1,line
"Rate Limiter","untitled1/Rate Limiter",1,outport,1,"Asynchronous Machine
SI Units2","untitled1/Asynchronous Machine
SI Units2",1,inport,1,line
"Rate Limiter","untitled1/Rate Limiter",1,outport,1,"Asynchronous Machine
SI Units","untitled1/Asynchronous Machine
SI Units",1,inport,1,line
"Rate Limiter","untitled1/Rate Limiter",1,outport,1,"Asynchronous Machine
SI Units1","untitled1/Asynchronous Machine
SI Units1",1,inport,1,line
"Three-Phase
V-I Measurement","untitled1/Three-Phase
V-I Measurement",3,rconn,3,"Asynchronous Machine
SI Units","untitled1/Asynchronous Machine
SI Units",3,lconn,3,line
"Three-Phase
V-I Measurement","untitled1/Three-Phase
V-I Measurement",2,rconn,2,"Asynchronous Machine
SI Units","untitled1/Asynchronous Machine
SI Units",2,lconn,2,line
"Three-Phase
V-I Measurement","untitled1/Three-Phase
V-I Measurement",1,rconn,1,"Asynchronous Machine
SI Units","untitled1/Asynchronous Machine
SI Units",1,lconn,1,line
"Three-Phase
V-I Measurement","untitled1/Three-Phase
V-I Measurement",2,outport,2,"Goto4","untitled1/Goto4",1,inport,1,line
"Bus
Selector2","untitled1/Bus
Selector2",2,outport,2,"Goto2","untitled1/Goto2",1,inport,1,line
"Bus
Selector1","untitled1/Bus
Selector1",2,outport,2,"Goto1","untitled1/Goto1",1,inport,1,line
"Bus
Selector","untitled1/Bus
Selector",2,outport,2,"Goto","untitled1/Goto",1,inport,1,line
"Asynchronous Machine
SI Units","untitled1/Asynchronous Machine
SI Units",1,outport,1,"Goto3","untitled1/Goto3",1,inport,1,line
"Asynchronous Machine
SI Units","untitled1/Asynchronous Machine
SI Units",1,outport,1,"Bus
Selector","untitled1/Bus
Selector",1,inport,1,line
"Asynchronous Machine
SI Units","untitled1/Asynchronous Machine
SI Units",1,outport,1,"Bus
Selector1","untitled1/Bus
Selector1",1,inport,1,line
"Asynchronous Machine
SI Units","untitled1/Asynchronous Machine
SI Units",1,outport,1,"Bus
Selector2","untitled1/Bus
Selector2",1,inport,1,line
"Rate Limiter","untitled1/Rate Limiter",0,outport,1,"Asynchronous Machine
SI Units","untitled1/Asynchronous Machine
SI Units",-1,inport,1,pc
"Asynchronous Machine
SI Units","untitled1/Asynchronous Machine
SI Units",-1,outport,1,"Goto3","untitled1/Goto3",-1,inport,1,pc
"Asynchronous Machine
SI Units","untitled1/Asynchronous Machine
SI Units",-1,outport,1,"Bus
Selector","untitled1/Bus
Selector",-1,inport,1,pc
"Asynchronous Machine
SI Units","untitled1/Asynchronous Machine
SI Units",-1,outport,1,"Bus
Selector1","untitled1/Bus
Selector1",-1,inport,1,pc
"Asynchronous Machine
SI Units","untitled1/Asynchronous Machine
SI Units",-1,outport,1,"Bus
Selector2","untitled1/Bus
Selector2",-1,inport,1,pc
"Asynchronous Machine
SI Units","untitled1/Asynchronous Machine
SI Units",-1,lconn,1,"Three-Phase
V-I Measurement","untitled1/Three-Phase
V-I Measurement",-1,,-1,pc
"mec","untitled1/Asynchronous Machine
SI Units/mec",-1,outport,1,"Mechanical model","untitled1/Asynchronous Machine
SI Units/Mechanical model",-1,inport,2,pc
"ASM","untitled1/Asynchronous Machine
SI Units/ASM",-1,lconn,1,"A","untitled1/Asynchronous Machine
SI Units/A",-1,,-1,pc
"ASM","untitled1/Asynchronous Machine
SI Units/ASM",-1,lconn,2,"B","untitled1/Asynchronous Machine
SI Units/B",-1,,-1,pc
"ASM","untitled1/Asynchronous Machine
SI Units/ASM",-1,lconn,3,"C","untitled1/Asynchronous Machine
SI Units/C",-1,,-1,pc
"ASM","untitled1/Asynchronous Machine
SI Units/ASM",-1,rconn,1,"a","untitled1/Asynchronous Machine
SI Units/a",-1,,-1,pc
"ASM","untitled1/Asynchronous Machine
SI Units/ASM",-1,rconn,2,"b","untitled1/Asynchronous Machine
SI Units/b",-1,,-1,pc
"ASM","untitled1/Asynchronous Machine
SI Units/ASM",-1,rconn,3,"c","untitled1/Asynchronous Machine
SI Units/c",-1,,-1,pc
"From","untitled1/Asynchronous Machine
SI Units/From",0,outport,1,"Electrical model","untitled1/Asynchronous Machine
SI Units/Electrical model",-1,inport,1,pc
"Mechanical model","untitled1/Asynchronous Machine
SI Units/Mechanical model",0,outport,1,"Electrical model","untitled1/Asynchronous Machine
SI Units/Electrical model",-1,inport,2,pc
"Electrical model","untitled1/Asynchronous Machine
SI Units/Electrical model",-1,outport,1,"Goto","untitled1/Asynchronous Machine
SI Units/Goto",-1,inport,1,pc
"Electrical model","untitled1/Asynchronous Machine
SI Units/Electrical model",-1,outport,2,"GotoDSS","untitled1/Asynchronous Machine
SI Units/GotoDSS",-1,inport,1,pc
"Electrical model","untitled1/Asynchronous Machine
SI Units/Electrical model",-1,outport,3,"Measurements","untitled1/Asynchronous Machine
SI Units/Measurements",-1,inport,1,pc
"Electrical model","untitled1/Asynchronous Machine
SI Units/Electrical model",-1,outport,4,"Mechanical model","untitled1/Asynchronous Machine
SI Units/Mechanical model",-1,inport,1,pc
"v","untitled1/Asynchronous Machine
SI Units/Electrical model/v",-1,outport,1,"Gain Vr_Vs","untitled1/Asynchronous Machine
SI Units/Electrical model/Gain Vr_Vs",-1,inport,1,pc
"input","untitled1/Asynchronous Machine
SI Units/Electrical model/input",-1,outport,1,"sin,cos","untitled1/Asynchronous Machine
SI Units/Electrical model/sin,cos",-1,inport,1,pc
"Mux1","untitled1/Asynchronous Machine
SI Units/Electrical model/Mux1",0,outport,1,"Asynchronous Machine
State-space model","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model",-1,inport,1,pc
"sin,cos","untitled1/Asynchronous Machine
SI Units/Electrical model/sin,cos",1,outport,1,"Asynchronous Machine
State-space model","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model",-1,inport,2,pc
"Asynchronous Machine
State-space model","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model",-1,outport,1,"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Demux",-1,inport,1,pc
"Asynchronous Machine
State-space model","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model",-1,outport,2,"Te","untitled1/Asynchronous Machine
SI Units/Electrical model/Te",-1,inport,1,pc
"Asynchronous Machine
State-space model","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model",-1,outport,3,"Machine
Measurements","untitled1/Asynchronous Machine
SI Units/Electrical model/Machine
Measurements",-1,inport,3,pc
"v","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/v",-1,outport,1,"phi","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi",-1,inport,1,pc
"W","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/W",-1,outport,1,"Sum1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Sum1",-1,inport,1,pc
"Constant","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Constant",-1,outport,1,"Saturation","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation",-1,outport,3,pc
"Constant1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Constant1",-1,outport,1,"Switch","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Switch",-1,inport,2,pc
"Constant2","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Constant2",-1,outport,1,"Switch","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Switch",-1,inport,3,pc
"Constant3","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Constant3",-1,outport,1,"Switch1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Switch1",-1,inport,2,pc
"Constant4","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Constant4",-1,outport,1,"Switch1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Switch1",-1,inport,3,pc
"Constant5","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Constant5",-1,outport,1,"Switch2","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Switch2",-1,inport,2,pc
"phi","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi",0,outport,1,"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Demux",-1,inport,1,pc
"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Demux",-1,outport,1,"phis_qd","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phis_qd",-1,inport,1,pc
"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Demux",-1,outport,1,"Electromagnetic
Torque","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque",-1,inport,1,pc
"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Demux",-1,outport,2,"phir_qd","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phir_qd",-1,inport,1,pc
"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Demux",0,outport,1,"Electromagnetic
Torque","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque",-1,inport,1,pc
"Selector","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Selector",0,outport,1,"Electromagnetic
Torque","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque",-1,inport,2,pc
"Electromagnetic
Torque","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque",-1,outport,1,"Te","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Te",-1,inport,1,pc
"phiqd_S","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/phiqd_S",-1,outport,1,"Selector1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Selector1",-1,inport,1,pc
"iqd_S","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/iqd_S",-1,outport,1,"1-1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/1-1",-1,inport,1,pc
"iqd_S","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/iqd_S",0,outport,1,"1-1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/1-1",-1,inport,1,pc
"1-1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/1-1",-1,outport,1,"Mult1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Mult1",-1,inport,2,pc
"Selector1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Selector1",0,outport,1,"Mult1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Mult1",-1,inport,1,pc
"1-1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/1-1",0,outport,1,"Mult1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Mult1",-1,inport,2,pc
"Mult1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Mult1",-1,outport,1,"Sum2","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Sum2",-1,inport,1,pc
"phiqd_S","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/phiqd_S",0,outport,1,"Selector1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Selector1",-1,inport,1,pc
"Selector1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Selector1",-1,outport,1,"Mult1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Mult1",-1,inport,1,pc
"Mult1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Mult1",0,outport,1,"Sum2","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Sum2",-1,inport,1,pc
"Sum2","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Sum2",-1,outport,1,"Te","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Te",-1,inport,1,pc
"Sum2","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Sum2",0,outport,1,"Te","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque/Te",-1,inport,1,pc
"Lm_nosat","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Lm_nosat",-1,outport,1,"Switch2","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Switch2",-1,inport,3,pc
"Switch","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Switch",0,outport,1,"Product3","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Product3",-1,inport,1,pc
"phi","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi",0,outport,1,"Product3","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Product3",-1,inport,2,pc
"Product3","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Product3",-1,outport,1,"Iqd_SR","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Iqd_SR",-1,inport,1,pc
"Product3","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Product3",-1,outport,1,"Selector","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Selector",-1,inport,1,pc
"phi","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi",0,outport,1,"Saturation","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation",-1,inport,1,pc
"Constant","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Constant",0,outport,1,"Saturation","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation",-1,outport,3,pc
"Saturation","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation",-1,outport,1,"Switch","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Switch",-1,inport,1,pc
"Saturation","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation",-1,outport,2,"Switch1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Switch1",-1,inport,1,pc
"Saturation","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation",-1,outport,3,"Switch2","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Switch2",-1,inport,1,pc
"phiqd_SR","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/phiqd_SR",-1,outport,1,"phimqd","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/phimqd",-1,inport,1,pc
"Math
Function","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Math
Function",0,outport,1,"1-D Lookup
Table","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/1-D Lookup
Table",-1,inport,1,pc
"1-D Lookup
Table","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/1-D Lookup
Table",-1,outport,1,"Switch","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Switch",-1,inport,2,pc
"1-D Lookup
Table","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/1-D Lookup
Table",-1,outport,1,"Product","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Product",-1,inport,2,pc
"Constant1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Constant1",-1,outport,1,"Switch","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Switch",-1,inport,3,pc
"phimqd","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/phimqd",0,outport,1,"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Demux",-1,inport,1,pc
"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Demux",-1,outport,1,"Math
Function","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Math
Function",-1,inport,1,pc
"Time Constant","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Time Constant",0,inport,1,"Laq=Lad","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad",-1,inport,1,pc
"Laq=Lad","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad",-1,outport,1,"phimqd","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/phimqd",-1,inport,2,pc
"Lm","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Lm",-1,outport,1,"Mux1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Mux1",-1,inport,2,pc
"Mux1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Mux1",0,outport,1,"Math
Function","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Math
Function",-1,inport,1,pc
"Math
Function","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Math
Function",-1,outport,1,"Sum2","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Sum2",-1,inport,1,pc
"Sum2","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Sum2",0,outport,1,"Math
Function1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Math
Function1",-1,inport,1,pc
"Math
Function1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Math
Function1",-1,outport,1,"La_qd","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/La_qd",-1,inport,1,pc
"u2","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/u2",0,outport,1,"Mux1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Mux1",-1,inport,1,pc
"Lm","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Lm",0,outport,1,"Mux1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Mux1",-1,inport,2,pc
"Mux1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Mux1",-1,outport,1,"Math
Function","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Math
Function",-1,inport,1,pc
"Math
Function","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Math
Function",0,outport,1,"Sum2","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Sum2",-1,inport,1,pc
"Sum2","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Sum2",-1,outport,1,"Math
Function1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Math
Function1",-1,inport,1,pc
"u2","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/u2",-1,outport,1,"Mux1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Mux1",-1,inport,1,pc
"Math
Function1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/Math
Function1",0,outport,1,"La_qd","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Laq=Lad/La_qd",-1,inport,1,pc
"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Demux",0,outport,1,"Math
Function","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Saturation/Math
Function",-1,inport,1,pc
